cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20180108_sample_9,0.01270031,0.22113481,0.53266594,0.41911023,0.25923574,0.53714841,2.11871054,0.67535766,0.90769863,1.25733069,7.31388443,5.39763177,0.34739083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180110_sample_5,0.0,0.0,0.0,0.04104143,0.3078107,0.47454149,1.77183532,1.21521098,1.86802616,3.80595101,6.33256381,3.47120687,0.71181224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180110_sample_8,0.32601991,0.41765794,0.29958587,0.474638,0.67788645,1.16603519,1.47795694,1.33403824,3.91458866,6.48280318,2.91009487,0.51869475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180111_sample_5,0.0,0.06556571,0.11146171,0.09670942,0.13522928,0.28439126,0.66221366,1.63504487,1.99319756,2.87505635,6.40413064,4.14211367,1.43015203,0.16473384,0.0,0.0,0.0,0.0,0.0,0.0
20180115_sample_2,0.03539614,0.59406525,0.16990148,0.17934045,0.47607811,0.449531,1.614654,2.25827385,6.87924016,4.92242346,1.86124712,0.55984898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180115_sample_5,2.11628102,1.62112373,0.85577916,0.45552237,0.48343428,0.49180785,0.45998828,0.61238731,0.8797834,1.98118737,2.08557792,3.87808078,3.02230162,1.05674491,0.0,0.0,0.0,0.0,0.0,0.0
20180115_sample_6,3.20873436,1.33204009,0.51481012,0.71028874,0.82419359,1.32109727,1.21714044,2.80136288,4.58106394,2.72575791,0.69586411,0.06764655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180115_sample_7,0.14930265,0.80259277,0.33502057,0.23669932,0.50034595,0.86741197,1.06769601,1.6780161,3.02829467,6.60281854,4.51403809,0.21776337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180115_sample_8,2.83151107,2.77474068,0.68404822,0.5123353,0.79058032,0.45486403,0.55158396,4.89837398,5.11143818,1.15923745,0.2312868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180115_sample_9,0.00795545,0.72659772,0.85918854,0.38451339,0.75046407,1.14823654,1.48501724,2.21161496,3.88225935,5.8207372,2.15062318,0.57279236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118_sample_1,0.66576741,0.57471818,0.36516042,0.37190481,0.72309471,0.50871953,0.88640524,2.40630119,4.90943251,6.39801522,2.07919838,0.1112824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118_sample_10,1.82960384,1.68643015,0.80352577,0.48552436,0.33261097,0.79378607,1.14344153,1.791132,4.36679734,5.26285033,1.50429765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118_sample_2,0.82278271,0.74701758,0.37550261,0.24324594,1.08995447,0.86199448,2.88904396,3.45994085,6.29116406,1.69939853,0.94440568,0.57554913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118_sample_4,0.01426091,0.41232639,0.20585317,0.93253968,1.59970238,2.49131944,4.41778274,5.94246032,3.86532738,0.11842758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118_sample_6,1.26373879,0.38537595,0.32375259,0.22625891,0.71096804,1.42469533,1.933318,6.04092895,5.03839963,2.30397793,0.34858588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118_sample_7,0.0,0.05893275,0.38669573,0.28578348,0.23653831,0.23411641,0.44805038,1.40308388,2.28949705,2.56478566,4.16323565,6.25090821,1.67837249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180123_sample_5,0.0,0.0,0.0,0.04344407,0.16628591,0.29586907,0.84865735,0.49586158,1.50930677,2.71375604,6.68963709,6.1031422,1.13403992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180123_sample_6,1.04380131,1.38294685,0.89100605,0.5129127,0.39187489,0.47995686,1.51357181,2.5399964,2.95344239,3.91155851,3.57421056,0.80472167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180123_sample_7,1.88310929,2.99357101,0.46639392,0.25774401,0.53185272,1.30859147,3.45996493,3.50263004,5.2063121,0.38983051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180208_sample_1,0.21107593,1.26201189,0.95761817,0.70988169,0.9031828,1.70082764,2.10631561,3.07504305,5.99344554,2.39071266,0.68988502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180208_sample_2,0.07083422,1.39449541,0.74162577,0.66823128,0.85427779,0.9106038,0.57606145,0.63836143,2.67975251,2.84275656,6.12673352,2.00725411,0.48901216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180208_sample_5,0.0,0.0,0.0,0.0,0.16508358,0.24306276,0.22647144,0.67443693,1.74789498,1.61516446,5.05537351,7.33833838,2.5434485,0.36666805,0.02405741,0.0,0.0,0.0,0.0,0.0
20180213_sample_3,0.0,0.38701544,2.53514025,2.33343839,1.43334384,1.92751339,1.86448156,1.55058304,2.16199181,2.08005043,2.36747558,1.09927513,0.25969114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180220_sample_2,0.18012223,0.56288196,2.00385976,10.15760695,6.62270827,0.47282084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180225_sample_1,2.61553967,3.16840236,7.10946873,6.79752364,0.3090656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180225_sample_3,0.0,0.45060981,1.01294107,0.75598175,6.5040499,10.63774323,0.63867424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180225_sample_4,0.0,0.61605363,1.00742888,0.98689376,0.97964607,1.58482817,2.16222746,8.01352902,4.02005194,0.52183367,0.1075074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180225_sample_5,0.56137545,2.28708517,1.17233107,0.58056777,1.3802479,3.44822071,3.04358257,5.9960016,1.50819672,0.02239104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180228_sample_3,1.34589502,6.34253028,4.96635262,6.64535666,0.69986541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180306_sample_2,1.68755565,3.34223683,3.71344428,7.72001918,3.50660914,0.03013492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180306_sample_3,0.04111539,4.45732961,3.57703864,5.95329714,5.8615782,0.10964103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180306_sample_5,6.41105991,5.11705069,1.11336406,6.04608295,1.3124424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180309_sample_4,1.72598425,1.28818898,0.60787402,0.79370079,1.23779528,6.9480315,6.91338583,0.48503937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180309_sample_6,3.22220081,5.92407015,1.24494122,3.25688957,4.72538061,1.62651763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180313_sample_2,1.14495052,4.6213571,0.9688884,6.61271803,6.152332,0.49975395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180313_sample_3,0.02111932,2.85110876,4.51953537,8.49298537,3.78337607,0.33187509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180313_sample_7,1.70421024,4.58433896,3.43657817,6.00831322,3.74094932,0.52561008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180315_sample_2,0.26225223,3.36745807,4.12372032,6.28272707,5.41058593,0.55325637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180315_sample_5,0.0,0.5982906,2.82684394,3.81766382,5.49224438,6.04938272,1.21557455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180321_sample_3,0.0,0.0,0.0,0.0,0.5561139,0.61641541,0.80067002,1.97319933,3.10887772,2.31490787,4.71691792,4.84422111,1.06867672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180321_sample_8,1.56831891,1.50275374,0.95200629,1.2588513,1.27458694,0.93889326,0.89168634,1.4896407,3.04222397,1.92237084,4.28796223,0.87070548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180322_sample_2,3.12532411,9.07173725,6.98703544,0.8159032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180322_sample_5,1.28282924,0.98321798,0.23134541,0.52337157,0.36313644,1.45444202,1.92945861,3.0387788,7.83919598,2.33052053,0.02370342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180322_sample_6,0.03006658,0.74450569,0.40088768,0.24339609,0.29493879,0.30066576,0.27775789,0.28634834,0.31498318,0.35220846,0.34218627,1.29858973,0.93635908,1.71236309,3.64378266,5.92025199,2.49123058,0.40947813,0.0,0.0
20180327_sample_3,0.0,0.0,0.08017992,0.11635866,0.21413904,0.35298719,0.44098954,0.74410873,1.74635768,8.34066686,7.00889802,0.95531436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180327_sample_6,1.76528688,4.28840801,1.09185598,3.1696148,7.2173835,2.417168,0.05028284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180329_sample_1,0.0,1.55250087,0.80628393,0.48053598,1.37229987,2.15317084,5.58854107,7.10176736,0.94490008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180329_sample_4,0.90097676,4.23711687,0.96497137,1.06769956,0.87403166,1.37083193,1.10643314,2.35601213,2.60862243,2.34590771,2.08992927,0.07746716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180329_sample_5,0.0,1.46026751,1.69000787,0.30841857,0.33044847,0.81510622,1.57356412,5.71833202,6.07710464,1.77498033,0.25177026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180329_sample_6,0.08253429,0.51219808,0.41995388,0.37625925,0.66512926,1.83760165,0.91030465,1.45648744,1.27685399,7.1416434,3.12902051,1.74778493,0.44422867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180329_sample_8,0.0,3.08538627,2.01865582,0.63142789,0.52140636,0.7079646,2.36307104,3.00406601,6.57737383,0.9758431,0.11480507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180405_sample_2,4.63485477,3.70954357,1.61410788,0.83817427,1.41493776,1.08298755,5.2033195,1.46887967,0.03319502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180405_sample_3,0.15936255,2.31800072,1.44875045,1.63708801,1.76747555,8.45345889,4.21586382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180410_sample_3,8.0515054,4.88543836,1.92387805,2.9729218,2.16625639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180410_sample_4,0.77894937,8.0060796,7.56910801,3.52047117,0.12539185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180410_sample_5,1.59961838,6.24264589,5.76244236,5.8387661,0.55652727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180410_sample_6,3.42849448,1.3816321,0.82951791,2.53164557,7.16940479,4.01023431,0.58981955,0.05925128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180411_sample_1,1.34815173,4.85302408,7.10155432,6.6876057,0.00966417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180412_sample_4,2.27240246,6.26268401,3.7901958,6.09118194,1.5835358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180412_sample_7,0.0,0.0,0.27070926,0.51615232,0.34289839,1.88413644,2.60241834,6.764122,6.70276123,0.91680202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180413_sample_4,0.02539145,0.80406263,2.82268303,9.56411342,6.6017774,0.18197207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180417_sample_3,4.74518299,3.26530612,7.47235207,4.49891689,0.01824193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180424_sample_2,4.22004417,10.52733297,5.20706792,0.04555494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180424_sample_3,0.87787317,4.63860426,4.51398505,9.02243146,0.94710606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180425_sample_2,1.085353,3.76185458,1.84931507,6.11872146,5.64980681,1.53494907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180425_sample_9,1.20953576,6.78544542,6.19824341,5.74654956,0.06022585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180426_sample_3,0.0,1.41133193,2.34354672,8.11807456,7.81301871,0.31402808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180426_sample_7,0.0,0.0,0.56407112,1.39791539,0.86654404,0.86654404,0.71122011,2.51379522,10.91354997,2.16636011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180501_sample_2,0.48111888,6.40559441,5.17202797,1.18041958,4.97622378,1.68671329,0.0979021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180501_sample_4,2.5359179,5.96579247,2.65906499,8.33751425,0.50171038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180501_sample_5,0.87540628,4.34236186,1.32611051,3.27193933,7.5276273,2.65655471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180502_sample_3,0.0,1.57429139,1.21863152,0.31774689,0.40621051,0.39898899,1.01823434,9.67322621,4.79328399,0.53078173,0.06860444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180508_sample_3,0.21033654,6.51241987,8.82612179,3.76802885,0.68309295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180509_sample_1,1.63475097,4.53400045,1.64202866,2.45167159,6.53809416,3.07027519,0.12917899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180509_sample_3,0.44898382,2.33098299,1.00476981,5.95188718,8.9226462,1.28162588,0.05910411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180509_sample_4,1.71162594,3.67925526,2.34846081,2.5706125,6.88881836,2.80122712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180509_sample_5,1.75723473,5.75080386,5.85530547,6.33038585,0.3062701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180509_sample_7,0.0,0.0,0.14525383,0.30648558,0.77856053,0.30503305,1.95947418,4.07872758,8.96797153,3.09971676,0.35877696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180510_sample_5,0.0,2.85082873,1.88287293,0.86629834,1.21325967,0.78453039,7.51160221,4.23867403,0.62762431,0.02430939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180522_sample_4,0.96258595,0.82150192,0.79292794,0.52236807,0.83221716,2.29395482,5.50316993,6.17376551,1.70908117,0.38842754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180522_sample_7,2.93011595,6.83484801,4.50955813,3.82638671,1.89909119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180524_sample_8,0.0,0.17596229,1.05891595,0.93951296,1.52395915,2.44776119,11.56323645,2.290652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180529_sample_3,2.31376418,2.13616182,1.23828318,1.92895905,8.52491367,3.85791811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180621_sample_2,1.31228722,3.81925101,7.18043949,6.95140823,0.73661405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180621_sample_4,0.35710349,0.70098093,6.10602888,9.87986333,2.95602337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180709_sample_2,0.08641743,1.04828104,1.05955288,2.61506669,12.91377043,2.27691152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180712_sample_13,5.83035481,6.64894081,6.69950309,0.82120129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180717_sample_7,0.0,4.28975765,2.20060145,0.99770034,0.7836547,2.23421192,2.60392712,2.19529453,3.58924465,1.01362109,0.09198656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180725_sample_3,0.2701934,4.74118316,5.32138794,8.19539249,1.471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180817_sample_6,0.0,0.08439768,0.50188488,0.25769426,0.33984133,0.39273055,1.04203005,10.48106679,6.87559782,0.02475665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180820_sample_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00714103545,1.60061209,1.83728641,4.74674828,7.66335119,3.62050497,0.524356032,0.0,0.0
20180820_sample_6,1.72331386,6.00637281,7.43494424,4.32554434,0.50982475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180828_sample_4,0.75721692,3.97042821,4.64827498,7.74435128,2.87972861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180828_sample_7,2.53623188,9.62541806,3.7090301,4.07246377,0.05685619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180829_sample_8,2.28658293,7.44699576,9.37354988,0.89287143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180926_sample_9,2.09111679,6.07176455,1.61627021,5.0951933,4.97334588,0.15230928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181010_sample_5,2.48878009,12.53715685,4.97406306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190108_sample_3,3.64744226,8.23154315,7.93821737,0.18279722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190110_sample_7,0.18662973,4.76343224,1.98877306,1.38076839,1.87650361,7.02340162,2.60406794,0.17642342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190117_sample_2,0.0,0.40728832,2.52411576,1.12540193,0.87888532,11.3397642,3.72454448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190117_sample_4,0.42136625,6.2992126,2.02596297,1.01298149,2.57927219,6.40987444,1.25133007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190122_sample_2,0.24071761,3.16112183,5.04598615,5.83399569,5.43431361,0.28386511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190122_sample_6,2.18078538,13.31933811,4.37391949,0.12595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190130_sample_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97095693,3.59438997,1.28335609,1.33052004,1.48938811,1.90641678,4.94973315,2.99615241,0.47908651,0.0,0.0,0.0
